beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0,R0_B,R0_N,rho_N,trM,detM
0.84044193,1.5825369,0.53103995,0.037932881,0.026495108,0.092179159,0.010361541,0.51739935,2.4440737,1.6669192,3.3031827,2.7628984,2.5358405,0.22428486
0.8323016,1.4859109,0.43669593,0.039349019,0.010904131,0.09680462,0.017457445,0.56086671,2.2502175,1.6521186,3.2308537,2.7251845,2.3415458,0.20550849
0.87790864,1.4618929,0.47306375,0.04669623,0.010644949,0.073859253,0.010326305,0.53909421,2.3875205,1.7350405,3.30172,2.8122974,2.4761798,0.21167589
0.819118,1.6023321,0.49870564,0.033828718,0.014360317,0.089208464,0.010197479,0.68749343,2.3558115,1.6281484,3.2785703,2.7263519,2.4512231,0.22477186
0.81896151,1.4218759,0.44445708,0.049228551,0.024248184,0.088354693,0.019030158,0.45379463,2.1866567,1.6278639,3.0808998,2.607497,2.273676,0.19028144
0.89281123,1.9714488,0.44925429,0.028841379,0.01316879,0.075092115,0.010596801,0.57406092,2.5141041,1.7621361,3.7012994,3.0138968,2.6333135,0.299705
0.83156225,1.5884534,0.4281689,0.056029942,0.017052739,0.084266175,0.016948326,0.53645328,2.1827644,1.6507743,3.1186596,2.5974398,2.2792772,0.2106646
0.84025383,1.9915666,0.56085634,0.024002726,0.021123793,0.079909853,0.010457985,0.48702652,2.6316993,1.6665772,3.5827392,2.8802455,2.7412688,0.28835409
0.79613926,1.5365731,0.49484568,0.041230929,0.037111489,0.057077379,0.011238709,0.53412082,2.2510082,1.5863689,3.1148624,2.594164,2.3427373,0.206483
0.82579392,2.0342139,0.57178121,0.031068827,0.011997763,0.092916749,0.010751725,0.69070554,2.580438,1.6402865,3.4765974,2.7710183,2.6902545,0.28337465
0.82016792,1.5805678,0.59536158,0.038267241,0.010355485,0.096470404,0.011511448,0.64302027,2.5000705,1.6300574,3.2336319,2.6944298,2.584764,0.21173975
0.80958786,1.7908539,0.46293569,0.033629707,0.023555842,0.056793457,0.010879172,0.50698639,2.2913816,1.6108209,3.3140467,2.6965728,2.3993049,0.24729357
0.8080288,1.6959212,0.56826208,0.046332888,0.025179994,0.07859957,0.010330846,0.68709494,2.3978914,1.6079863,3.1625335,2.5943083,2.4913765,0.22416698
0.81438554,1.9125733,0.48452468,0.02322222,0.01431081,0.078446236,0.012822277,0.52747245,2.4048055,1.619544,3.4748707,2.7989655,2.5184955,0.27340238
0.80156797,1.6365824,0.58587559,0.042868731,0.02484002,0.075242468,0.010544203,0.54459692,2.4192189,1.5962393,3.1519247,2.5993631,2.5076774,0.21400055
0.80700363,1.8786072,0.47678935,0.032731908,0.010845916,0.071196033,0.010004527,0.51379887,2.3229138,1.6061223,3.3443065,2.6952247,2.43487,0.26006456
0.82111654,1.9837751,0.5402951,0.028032211,0.010828399,0.080628372,0.010125515,0.5028466,2.5153521,1.6317821,3.4738066,2.7807789,2.6270189,0.28088137
0.83494383,1.43176,0.48589704,0.031907451,0.033843822,0.083313771,0.015058004,0.61649698,2.3636511,1.6569227,3.2900273,2.7943857,2.4504434,0.20514663
0.8384873,1.1287751,0.48483079,0.046075699,0.013962149,0.07813056,0.010348847,0.48455395,2.2767664,1.6633653,3.0709763,2.692562,2.3458185,0.1572155
0.8125716,1.3285598,0.50953793,0.029492749,0.010124991,0.064789762,0.015641499,0.57320144,2.3448523,1.6162459,3.2025453,2.7400165,2.4245256,0.18682206
0.85471098,2.0755487,0.51899259,0.036684489,0.011641589,0.084151671,0.010283154,0.57144615,2.5276054,1.6928629,3.5301826,2.8195617,2.6464182,0.300312
0.79504644,1.6179931,0.51343692,0.035295603,0.031272473,0.075282972,0.010998674,0.57385142,2.3144703,1.584382,3.1914476,2.635716,2.4095088,0.21996378
0.83374206,1.523683,0.49700418,0.031192256,0.025418299,0.081627808,0.010890524,0.61268242,2.3934129,1.6547376,3.3247291,2.7963835,2.4847304,0.21856053
0.78446885,1.5121813,0.55700774,0.03180888,0.033474602,0.078492382,0.010825793,0.64361116,2.3632307,1.56515,3.1515698,2.6279677,2.4487981,0.20221562
0.82050198,1.8142127,0.49778026,0.041356934,0.010590199,0.084459517,0.012310926,0.51535756,2.3479893,1.6306648,3.2860798,2.6714714,2.4546977,0.25055013
0.78164588,1.955735,0.48397116,0.030034794,0.013109067,0.067065475,0.012687091,0.56136621,2.2926047,1.5600173,3.312492,2.6324853,2.4081645,0.26493302
0.78130884,1.9655572,0.58180615,0.023945385,0.011760194,0.080306608,0.012461902,0.58402535,2.5101249,1.5594045,3.3736391,2.6802237,2.6149373,0.26309232
0.81498649,1.8558072,0.49101564,0.049871325,0.012145907,0.068864128,0.011495634,0.60270806,2.2906607,1.6206366,3.2073952,2.5903784,2.3997599,0.24990928
0.8362077,1.8124121,0.46904381,0.029998968,0.018046545,0.096988902,0.011656711,0.50692913,2.3877001,1.6592206,3.4448671,2.8146405,2.496767,0.2604192
0.79399309,1.7611826,0.50058114,0.035823743,0.019672001,0.072475013,0.011049107,0.62986908,2.3046646,1.5824668,3.2323702,2.628191,2.4083773,0.23902306
0.86417227,1.8275056,0.51363325,0.042704816,0.021770255,0.087116214,0.01061113,0.52292092,2.4810543,1.7100653,3.418034,2.8007853,2.5873348,0.2636877
0.8351688,1.6972982,0.42789096,0.034353334,0.016732433,0.082702145,0.014879787,0.6242875,2.2816132,1.6573317,3.3590979,2.77486,2.3855021,0.23703424
0.86647707,1.7498659,0.464816,0.041440766,0.012314159,0.082331032,0.012152445,0.6065014,2.3975773,1.7142558,3.4111443,2.8184464,2.5029968,0.25275122
0.86283308,1.702692,0.457618,0.044549861,0.013479286,0.080261344,0.012588728,0.64057533,2.3583056,1.7076304,3.3544395,2.781699,2.4612399,0.24275048
0.77863198,1.7626177,0.56745942,0.028314656,0.024120634,0.065856448,0.011276089,0.51156942,2.4203995,1.5545375,3.2513435,2.635989,2.517406,0.23479466
0.79759182,1.8671473,0.51696268,0.050049822,0.023181941,0.080854174,0.02189764,0.51367796,2.2912493,1.5890099,3.1552833,2.5347359,2.3987148,0.24623028
0.83544407,1.5138412,0.47739638,0.020341842,0.011425999,0.091563754,0.01011271,0.62286887,2.4140918,1.6578322,3.4353219,2.8965575,2.5063994,0.22283889
0.84262559,1.5430511,0.47899451,0.019173658,0.010862617,0.090942566,0.010081592,0.620178,2.4448187,1.6708895,3.4827326,2.9319917,2.5387524,0.22965076
0.7918274,1.5797793,0.60596167,0.035564818,0.036892329,0.073414968,0.010680141,0.62085554,2.4569053,1.5785292,3.16537,2.6230994,2.5400939,0.20438652
0.77994676,1.5606625,0.57440128,0.038461817,0.017269524,0.078567285,0.010748136,0.65244129,2.3541781,1.556928,3.0946859,2.5625095,2.4402181,0.20255354
0.85156679,1.6076712,0.46293131,0.041496863,0.017526654,0.09388169,0.013021724,0.55176792,2.3430667,1.6871462,3.314588,2.7701214,2.44054,0.2283865
0.87909994,2.0457292,0.47870629,0.045500674,0.027212827,0.088777855,0.012700876,0.50600635,2.4662918,1.7372065,3.5123825,2.8256967,2.5869944,0.29768788
0.78576681,1.474063,0.55580115,0.032935559,0.015271448,0.078208963,0.012787199,0.63791146,2.3536635,1.5675099,3.1325585,2.6234927,2.4373657,0.19700673
0.78896432,1.3781903,0.54138557,0.026949959,0.016333806,0.075277603,0.01315847,0.64508985,2.3546013,1.5733236,3.1643537,2.6816448,2.4346843,0.18856357
0.79385454,1.4869012,0.52381997,0.026758866,0.016432501,0.054687058,0.014040435,0.61940552,2.3531,1.5822149,3.2206969,2.6996747,2.4404845,0.20562452
0.79100554,1.4815479,0.55479146,0.032747221,0.013994316,0.080524123,0.012049543,0.6442023,2.3677875,1.5770349,3.1541338,2.6422591,2.4519959,0.19938764
0.83783076,1.8740301,0.45177308,0.043572093,0.026392725,0.087999373,0.011083207,0.51590746,2.3081863,1.6621716,3.3415305,2.7097885,2.4208608,0.26007364
